t,epsilon_t,shock_impact_t,k,z,c,n,y,i,log_k_dev,log_c_dev,log_n_dev,log_y_dev,log_i_dev
138,-0.15450567924990047,-0.0015450567924990047,12.504496094702958,0.0019696467081015247,0.9082265948893997,0.33044260034641876,1.2246745613791867,0.316447966489787,-0.0025524263688572247,-0.0007720545703036947,0.0013403145479877507,0.0019085745260252803,0.009642306743244924
139,-0.695942611670703,-0.006959426116707031,12.508321531907422,-0.0050882617440105825,0.9060552482885643,0.3293379115496703,1.213591579677739,0.3075363313891747,-0.0022465482153925537,-0.003165671246466369,-0.0020083440107821282,-0.007182359268452319,-0.018923287323067164
140,-0.22385881688049952,-0.0022385881688049953,12.503136451295621,-0.007072436825615048,0.9051812182775361,0.3290551130748302,1.2103395951724116,0.30515837689487557,-0.0026611646435561295,-0.004130791036185035,-0.002867400779778138,-0.009865592596353083,-0.026685608107518907
141,0.2424967912712216,0.002424967912712216,12.495688052967767,-0.00429384707162208,0.9057831732107654,0.3295149683726514,1.2145320035378055,0.30874883032704015,-0.0032570645465289623,-0.0034660016474727775,-0.0014708740151612686,-0.0064077496780757075,-0.014988418928915287
142,0.17657335845371103,0.0017657335845371104,12.49203919370343,-0.002313421133503865,0.9062826392701032,0.3298359219725131,1.2175701298036468,0.31128749053354354,-0.0035491166610931305,-0.0029147346145136344,-0.000497329791861984,-0.003909394198288905,-0.006799626410872102
143,-1.0843880722333665,-0.010843880722333665,12.491025848744812,-0.013041630799162337,0.902703471825246,0.32819078343349894,1.2006938712506139,0.29799039942536787,-0.0036302392101040712,-0.006871837538984056,-0.005497558363688535,-0.017866954267560388,-0.05045524915644211
144,0.09048978162787422,0.0009048978162787422,12.476630814179265,-0.011484651442925478,0.9026081082370361,0.3284919673482366,1.2027715827798384,0.30016347454280234,-0.004783333900157656,-0.0069774853278219565,-0.004580269351611911,-0.016138024032013868,-0.0431892770629499
145,0.22822833013890514,0.0022822833013890517,12.464808173765503,-0.008628135569390152,0.9030483697141888,0.32898207000114604,1.2069516995320568,0.30390332981786805,-0.00573136591266167,-0.006489838323806414,-0.0030894036570098017,-0.012668645638434482,-0.030806861634250084
146,2.5174740375339204,0.025174740375339205,12.457064787835316,0.016978011584418563,0.9111843256602901,0.3329764902166362,1.2475782727857567,0.33639394712546666,-0.006352778772866372,0.0024792542384978497,0.008979233077582657,0.020437720395839756,0.07076641640023625
147,1.8768446112816701,0.0187684461128167,12.481651881395909,0.03489755711801434,0.9182105287375135,0.3356677455726256,1.277602966935558,0.35939243819804445,-0.004380977107775269,0.01016074258299464,0.01702916380310942,0.0442190701932053,0.13689841560641278
