phi_pi,phi_x,determinate,stable_root_count,roots_outside_unit_circle_count,infinite_root_count,spectral_radius
1.9000000000000001,0.36,True,3,2,1,0.8000000000000003
1.9500000000000002,0.36,True,3,2,1,0.7999999999999998
2.0,0.36,True,3,2,1,0.8000000000000003
2.05,0.36,True,3,2,1,0.7999999999999999
2.1,0.36,True,3,2,1,0.7999999999999997
2.1500000000000004,0.36,True,3,2,1,0.7999999999999998
2.2,0.36,True,3,2,1,0.8
2.25,0.36,True,3,2,1,0.8000000000000003
2.3,0.36,True,3,2,1,0.8000000000000002
2.35,0.36,True,3,2,1,0.7999999999999998
2.4000000000000004,0.36,True,3,2,1,0.8000000000000003
2.45,0.36,True,3,2,1,0.7999999999999999
2.5,0.36,True,3,2,1,0.8
0.5,0.4,False,4,1,1,
0.55,0.4,False,4,1,1,
0.6,0.4,False,4,1,1,
0.65,0.4,False,4,1,1,
0.7,0.4,False,4,1,1,
0.75,0.4,False,4,1,1,
0.8,0.4,False,4,1,1,
0.8500000000000001,0.4,False,4,1,1,
0.9,0.4,False,4,1,1,
0.95,0.4,False,4,1,1,
1.0,0.4,True,3,2,1,0.8000000000000003
1.05,0.4,True,3,2,1,0.7999999999999999
1.1,0.4,True,3,2,1,0.8
1.15,0.4,True,3,2,1,0.8
1.2000000000000002,0.4,True,3,2,1,0.8
1.25,0.4,True,3,2,1,0.8
1.3,0.4,True,3,2,1,0.8
1.35,0.4,True,3,2,1,0.8
1.4,0.4,True,3,2,1,0.8000000000000002
1.4500000000000002,0.4,True,3,2,1,0.8
1.5,0.4,True,3,2,1,0.8
1.55,0.4,True,3,2,1,0.8000000000000002
1.6,0.4,True,3,2,1,0.8000000000000002
1.6500000000000001,0.4,True,3,2,1,0.7999999999999998
1.7000000000000002,0.4,True,3,2,1,0.7999999999999999
1.75,0.4,True,3,2,1,0.7999999999999999
1.8,0.4,True,3,2,1,0.7999999999999998
1.85,0.4,True,3,2,1,0.7999999999999999
1.9000000000000001,0.4,True,3,2,1,0.8
1.9500000000000002,0.4,True,3,2,1,0.7999999999999999
2.0,0.4,True,3,2,1,0.8
2.05,0.4,True,3,2,1,0.8000000000000003
2.1,0.4,True,3,2,1,0.8000000000000003
2.1500000000000004,0.4,True,3,2,1,0.7999999999999998
2.2,0.4,True,3,2,1,0.7999999999999999
2.25,0.4,True,3,2,1,0.8000000000000002
2.3,0.4,True,3,2,1,0.7999999999999999
2.35,0.4,True,3,2,1,0.8
2.4000000000000004,0.4,True,3,2,1,0.8
2.45,0.4,True,3,2,1,0.8000000000000003
2.5,0.4,True,3,2,1,0.8000000000000002
0.5,0.44,False,4,1,1,
0.55,0.44,False,4,1,1,
0.6,0.44,False,4,1,1,
0.65,0.44,False,4,1,1,
0.7,0.44,False,4,1,1,
0.75,0.44,False,4,1,1,
0.8,0.44,False,4,1,1,
0.8500000000000001,0.44,False,4,1,1,
0.9,0.44,False,4,1,1,
0.95,0.44,False,4,1,1,
1.0,0.44,True,3,2,1,0.8
1.05,0.44,True,3,2,1,0.7999999999999999
1.1,0.44,True,3,2,1,0.7999999999999999
1.15,0.44,True,3,2,1,0.8000000000000003
