t,eps_demand,eps_costpush,eps_monetary,internal_linear_residual_max_abs,r_n,u,nu,x,pi,i
137,-1.7590779577574984,-0.8453161072164137,-0.3130360765040499,1.0408340855860843e-17,-0.0328538123710701,-0.010545048497992753,0.0007673423833463124,-0.014906376950138758,-0.032794983106164834,-0.05587832075097031
138,-0.12168508282791735,-0.007696672022563384,0.39564381219460665,1.734723475976807e-17,-0.027499900725135244,-0.00534949096922201,0.0013727807221596729,-0.018834257453763863,-0.021824095732874724,-0.04078049160403433
139,0.6886267687252113,-1.5850903855282876,1.2443203162991485,1.474514954580286e-17,-0.015113652892856072,-0.018525649339893882,0.0037971911518277076,0.012870462130785654,-0.038258585986693454,-0.04715545676281963
140,-0.2904343037086592,-0.42078459331369455,1.1086152742269468,1.0408340855860843e-17,-0.01499526535137144,-0.013470670603083885,0.004670133761481221,0.003900685126464331,-0.029992626532761885,-0.03836846347442944
141,-0.5412417418644391,-0.8793930019698267,-1.8903918580193932,1.0842021724855044e-17,-0.017408629699741534,-0.01552926532124021,-0.002390912764307873,0.01086896028608405,-0.033347518521406924,-0.04697771040337623
142,1.2576904362254495,-1.7862833690950033,-1.3181192472518692,1.0191500421363742e-17,-0.0013499993975387235,-0.02562746635157014,-0.004490754500283609,0.044805518251538126,-0.04224333431916696,-0.04545299685326498
143,-2.1295355063165187,-0.4004700974749094,-1.8693331289194155,1.3877787807814457e-17,-0.022375354581196154,-0.01681843415053416,-0.0069187100724403434,0.011987573388311731,-0.03703365557472302,-0.056475406740368994
144,1.1727282169315563,-0.688639342354626,-1.1681476592756794,6.938893903907228e-18,-0.006173001495641348,-0.01529561049881334,-0.00637972418440937,0.02465182481395586,-0.0270906741947484,-0.034689823069554045
145,0.37658930198360024,-1.0778056377096286,-0.12638169184356488,7.806255641895632e-18,-0.0011725081766770693,-0.018425861626502955,-0.0035058163218135976,0.03225113546058218,-0.0304203308197358,-0.03301074482112622
146,0.9097655873181997,-0.8043225951234667,-0.371349991332213,8.673617379884035e-18,0.008159649331840348,-0.017256156764486143,-0.0026812831392373313,0.038632686916204514,-0.024294761874338097,-0.019807082492642226
147,-0.7407313138791323,-0.312448228374703,3.0582441102332045,5.204170427930421e-18,-0.0008795936733190391,-0.011752560665990102,0.006304968705964346,0.013314307402513173,-0.020875838498933277,-0.018351635341178986
148,-2.132016264817161,0.9132354555012209,0.05843329965831558,9.540979117872439e-18,-0.02202383758682684,0.0032560742220171576,0.003298567602127962,-0.02938277777624369,-0.005378414949922618,-0.019460443710877805
149,-0.6964106830988263,1.0173857466094558,1.250881546693234,1.0408340855860843e-17,-0.02458317690044973,0.011801894577103136,0.004776487667797066,-0.04721085785024638,0.007315546038949686,-0.007855622198901588
150,-0.8990632158521547,-0.08744936621567806,-0.6093332617643927,8.673617379884035e-18,-0.028657173678881327,0.005026453626394788,0.0008649106794875513,-0.03667713306369605,-0.005126597157050548,-0.02516355158793629
151,0.4519446512261633,0.17976040336809063,-0.016661709765267454,6.5052130349130266e-18,-0.018406292430843428,0.0043108308468783,0.000390801065330607,-0.025209008176109434,-0.0014764963618546453,-0.014428447565506073
152,0.43184175982232637,0.5121949218678545,1.4878521219330219,3.469446951953614e-18,-0.010406616346451477,0.0072773646421176955,0.003915030837497858,-0.02533639848359466,0.006554772865451827,0.0010789908938782715
153,-0.8607677232705223,-0.06379280926132148,2.4499684113992344,6.938893903907228e-18,-0.016932970309866405,0.0030007542284456326,0.008082436447247016,-0.02804249613571065,-0.0042298978970598065,-0.012283658466198014
154,-0.6353915115616864,1.2334613148823352,-0.9766994690945054,6.938893903907228e-18,-0.019900291363509987,0.013834990263046168,0.0015994695508872443,-0.0434016437821674,0.013373186569123017,-4.1572486511923813e-05
155,0.7288018392836302,-0.17162335332779702,0.41229933737392405,3.469446951953614e-18,-0.008632214697971687,0.005201261598245114,0.0018304831188784322,-0.018452975660403017,0.004290757258707886,-0.0009598688232612452
