scenario_name,phi_pi,phi_y,rho_i,validation_cumulative_loss,validation_policy_volatility,validation_unstable_episodes,rule_family,alpha
macro_core_moderate_gap,1.5,0.125,0.5,0.007675411776722952,0.0031849647269336237,0,history_observables_rule,0.2
macro_core_moderate_gap,2.5,0.0,0.5,0.007757043042105363,0.0028677675951994915,0,history_observables_rule,0.2
macro_core_moderate_gap,0.5,0.25,0.5,0.00809996353936625,0.0036536881409317567,0,history_observables_rule,0.2
macro_core_moderate_gap,2.0,0.25,0.85,0.008578018030490549,0.0026551765383252403,0,history_observables_rule,0.8
macro_core_moderate_gap,2.0,0.125,0.5,0.008969900654010533,0.002537052387378875,0,history_observables_rule,0.8
macro_core_moderate_gap,1.0,0.25,0.5,0.009012208770803092,0.0025472754619709293,0,history_observables_rule,0.8
macro_core_moderate_gap,2.5,0.0,0.3,0.00930693985823299,0.003841632907826656,0,history_observables_rule,0.2
macro_core_moderate_gap,1.5,0.25,0.85,0.00977315629461927,0.0027713748203203508,0,history_observables_rule,0.5
macro_core_moderate_gap,2.5,0.125,0.85,0.009774810498872372,0.00277351125493245,0,history_observables_rule,0.5
macro_core_moderate_gap,1.5,0.25,0.7,0.010270192723569624,0.00274221066140018,0,history_observables_rule,0.8
macro_core_moderate_gap,2.5,0.125,0.7,0.01028472908543553,0.0027216509069633546,0,history_observables_rule,0.8
macro_core_moderate_gap,2.0,0.125,0.3,0.010306792306192244,0.002670694333471347,0,history_observables_rule,0.8
macro_core_moderate_gap,1.5,0.125,0.3,0.010327749110888127,0.004403344041040395,0,history_observables_rule,0.2
macro_core_moderate_gap,1.0,0.25,0.3,0.010410783339784135,0.0026916984012715127,0,history_observables_rule,0.8
macro_core_moderate_gap,2.5,0.25,0.85,0.010897293752923051,0.002985253142965978,0,history_observables_rule,0.8
macro_core_moderate_gap,2.5,0.125,0.85,0.010983033641690277,0.0027989983556936347,0,history_observables_rule,0.2
macro_core_moderate_gap,1.5,0.25,0.85,0.011019241508091554,0.0028007964683887275,0,history_observables_rule,0.2
macro_core_moderate_gap,2.0,0.125,0.7,0.011899667913208189,0.002897849692452884,0,history_observables_rule,0.5
macro_core_moderate_gap,0.5,0.25,0.3,0.011915200271986974,0.004997989803103229,0,history_observables_rule,0.2
macro_core_moderate_gap,1.0,0.25,0.7,0.012065388014642034,0.0029406212296502923,0,history_observables_rule,0.5
macro_core_moderate_gap,2.0,0.25,0.85,0.012734355586404043,0.0029786046281554913,0,history_observables_rule,0.5
macro_core_moderate_gap,1.5,0.25,0.5,0.012931081907744566,0.002824103286398797,0,history_observables_rule,0.8
macro_core_moderate_gap,2.0,0.25,0.7,0.013171763004182152,0.0029586934341277503,0,history_observables_rule,0.8
macro_core_moderate_gap,2.5,0.125,0.5,0.013210193507454875,0.002892205011250917,0,history_observables_rule,0.8
macro_core_moderate_gap,2.0,0.125,0.7,0.013225173074243512,0.002924610041237909,0,history_observables_rule,0.2
macro_core_moderate_gap,1.0,0.25,0.7,0.013408530329165428,0.00297758781992886,0,history_observables_rule,0.2
macro_core_moderate_gap,2.0,0.25,0.85,0.013760653533063591,0.0028690098876258388,0,history_observables_rule,0.2
macro_core_moderate_gap,2.5,0.25,0.85,0.014106990855815304,0.0028759010554480335,0,history_observables_rule,0.5
macro_core_moderate_gap,2.0,0.125,0.5,0.01421505984102064,0.002894431422301718,0,history_observables_rule,0.5
macro_core_moderate_gap,1.5,0.25,0.3,0.014236861582605722,0.0028069866167013593,0,history_observables_rule,0.8
macro_core_moderate_gap,2.5,0.125,0.3,0.01442875070173287,0.0028706201230968274,0,history_observables_rule,0.8
macro_core_moderate_gap,2.5,0.25,0.7,0.014451907596875238,0.0029021580212073004,0,history_observables_rule,0.8
macro_core_moderate_gap,1.0,0.25,0.5,0.014457825949363266,0.002981487143305655,0,history_observables_rule,0.5
macro_core_moderate_gap,1.5,0.25,0.7,0.014861820569867082,0.0027217037371677954,0,history_observables_rule,0.5
macro_core_moderate_gap,2.0,0.25,0.5,0.014868117108147403,0.002751677050856281,0,history_observables_rule,0.8
macro_core_moderate_gap,2.5,0.125,0.7,0.015082304660146368,0.0028709637287279923,0,history_observables_rule,0.5
macro_core_moderate_gap,2.5,0.25,0.85,0.015453797892484935,0.0029899640730940693,0,history_observables_rule,0.2
macro_core_moderate_gap,2.0,0.125,0.3,0.015511888287756227,0.002966878266277337,0,history_observables_rule,0.5
macro_core_moderate_gap,1.0,0.25,0.5,0.015513417616563236,0.0030679388263656006,0,history_observables_rule,0.2
macro_core_moderate_gap,2.0,0.125,0.5,0.015527955755694295,0.0030222554563409097,0,history_observables_rule,0.2
macro_core_moderate_gap,1.0,0.25,0.3,0.015534383974278438,0.0029840662706227903,0,history_observables_rule,0.5
macro_core_moderate_gap,2.0,0.25,0.3,0.015627433667609363,0.0025637995118024223,0,history_observables_rule,0.8
macro_core_moderate_gap,2.5,0.25,0.5,0.01575610892297922,0.0025750727632596502,0,history_observables_rule,0.8
