t,filtered_r_n,filtered_std_r_n,lower_95_r_n,upper_95_r_n,filter_error_r_n,filtered_u,filtered_std_u,lower_95_u,upper_95_u,filter_error_u,filtered_nu,filtered_std_nu,lower_95_nu,upper_95_nu,filter_error_nu
86,-0.0035162740588798418,0.001125794356298864,-0.0057228309972256145,-0.0013097171205340686,-0.00021398641719116377,-0.006180463671742062,0.0007150903470662122,-0.007582040751991838,-0.004778886591492286,-4.614939002900269e-05,-0.0010222002237953312,0.0019347443994529822,-0.004814299246723176,0.002769898799132514,-0.0007100781320760686
87,-0.0031316420546621125,0.001125794356298864,-0.005338198993007886,-0.0009250851163163393,-0.0011066557025080927,0.0083991755393704,0.0007150903470662122,0.006997598459120625,0.009800752619620177,0.000676965552924365,0.0007662670800929914,0.0019347443994529822,-0.0030258319428348537,0.004558366103020836,-0.001353407356197081
88,-0.0008034466296288772,0.001125794356298864,-0.0030100035679746506,0.001403110308716896,-0.0006349352937691692,-0.019910154790499783,0.0007150903470662122,-0.02131173187074956,-0.018508577710250006,0.0021297897416548417,0.0009273608976407509,0.0019347443994529822,-0.0028647381252870944,0.004719459920568596,-0.005249590529490947
89,0.013901930540672024,0.001125794356298864,0.011695373602326252,0.0161084874790178,-0.0015898823630088477,-0.0038916347744995658,0.0007150903470662122,-0.0052932118547493415,-0.00249005769424979,0.0013590010072541871,0.00255349940999529,0.0019347443994529822,-0.001238599612932555,0.006345598432923136,-0.0025755112785774753
90,0.016467960378298778,0.001125794356298864,0.014261403439953005,0.018674517316644552,0.002089881877536847,-0.0006461472769200096,0.0007150903470662122,-0.0020477243571697854,0.0007554298033297662,-3.9754984017810295e-05,0.0014873906252884793,0.0019347443994529822,-0.002304708397639366,0.005279489648216324,-0.0012160850546382895
91,0.006033721002176428,0.001125794356298864,0.003827164063830655,0.0082402779405222,-0.00043944587592506697,0.018633682253718812,0.0007150903470662122,0.017232105173469035,0.02003525933396859,-0.0004393100669408054,-0.0024457109503574024,0.0019347443994529822,-0.006237809973285248,0.0013463880725704427,-0.0007180849931999003
92,0.008449217709641757,0.001125794356298864,0.006242660771295984,0.01065577464798753,-0.0002247787137932781,-0.008948744330063785,0.0007150903470662122,-0.01035032141031356,-0.007547167249814009,0.001029841854664374,-0.003361421732183848,0.0019347443994529822,-0.007153520755111694,0.000430677290743997,-0.0038958382660081127
93,0.012878649672840373,0.001125794356298864,0.0106720927344946,0.015085206611186145,0.00048491474643945487,-0.017602004520606774,0.0007150903470662122,-0.01900358160085655,-0.016200427440356997,-0.0003255896118260562,0.002043330788887717,0.0019347443994529822,-0.001748768234040128,0.005835429811815562,-0.0025772472474608313
94,0.012878477788855786,0.001125794356298864,0.010671920850510013,0.015085034727201558,0.00045323621795254933,0.008154174761572099,0.0007150903470662122,0.006752597681322323,0.009555751841821874,0.0009226690809501954,0.0019952680918330083,0.0019347443994529822,-0.0017968309310948368,0.0057873671147608535,-0.0023410734066040763
95,-0.0025093698713823977,0.001125794356298864,-0.00471592680972817,-0.0003028129330366245,-0.002213739780531184,-0.0016059425257674868,0.0007150903470662122,-0.0030075196060172626,-0.00020436544551771102,0.0017882133225460683,0.00019334227774834819,0.0019347443994529822,-0.003598756745179497,0.003985441300676193,-0.005347768289818753
96,-0.020015600725070186,0.001125794356298864,-0.02222215766341596,-0.01780904378672441,-0.0024023593322235887,0.01938685788537856,0.0007150903470662122,0.017985280805128782,0.020788434965628336,0.00034718135812879594,0.002171093113485731,0.0019347443994529822,-0.001621005909442114,0.005963192136413576,-0.0031405007508136596
97,-0.014102555975246182,0.001125794356298864,-0.016309112913591956,-0.011895999036900409,0.00019328224206965894,0.006655588449821401,0.0007150903470662122,0.005254011369571625,0.008057165530071176,0.0011441389927573289,0.0049473377347898405,0.0019347443994529822,0.0011552387118619954,0.008739436757717685,-0.0009182403153815905
98,-0.02755750486243421,0.001125794356298864,-0.029764061800779985,-0.025350947924088436,0.0024545415597685347,0.00968306290394633,0.0007150903470662122,0.008281485823696554,0.011084639984196107,-0.0010980134272946755,0.0002758618482060723,0.0019347443994529822,-0.003516237174721773,0.004067960871133917,0.0024365667478684406
99,-0.01607456742684213,0.001125794356298864,-0.018281124365187904,-0.013868010488496356,-0.00020693190137260203,0.012638393858959679,0.0007150903470662122,0.011236816778709902,0.014039970939209456,0.0007960592026313162,0.0009678280509373481,0.0019347443994529822,-0.002824270971990497,0.004759927073865193,0.0026072589829749396
100,-0.02120900996276711,0.001125794356298864,-0.023415566901112884,-0.019002453024421335,-0.0016473688893000257,0.001369549071953199,0.0007150903470662122,-3.2028008296576885e-05,0.0027711261522029747,0.0007779648442325067,-0.001273494904781697,0.0019347443994529822,-0.005065593927709542,0.002518604118146148,-0.0015401826474712786
101,-0.01267526139409985,0.001125794356298864,-0.014881818332445623,-0.010468704455754077,0.000115619715543221,-0.004423696229417849,0.0007150903470662122,-0.005825273309667625,-0.003022119149168073,0.00026196996524607136,0.00014183140400387238,0.0019347443994529822,-0.003650267618923973,0.003933930426931718,-0.0005092472211869839
102,-0.006375417120300206,0.001125794356298864,-0.00858197405864598,-0.004168860181954432,0.0010110191944659183,0.011779231798187167,0.0007150903470662122,0.01037765471793739,0.013180808878436943,0.000451382589647914,-0.001853091064584166,0.0019347443994529822,-0.005645190087512011,0.0019390079583436791,-0.0003083017489959551
103,-0.005544001145371083,0.001125794356298864,-0.007750558083716856,-0.00333744420702531,-0.0011761049394249847,-0.009556013334596944,0.0007150903470662122,-0.01095759041484672,-0.00815443625434717,0.00018952846727706384,-0.0004174512252247968,0.0019347443994529822,-0.004209550248152642,0.0033746477977030483,-0.0017580738109234482
104,-0.017963091425951278,0.001125794356298864,-0.020169648364297053,-0.015756534487605504,-0.001617624392143975,-0.0076409028810335445,0.0007150903470662122,-0.00904247996128332,-0.006239325800783769,-0.0006590972022210489,0.0017970955840557687,0.0019347443994529822,-0.0019950034388720762,0.005589194606983614,-0.00019513933595652583
105,-0.012633543607562485,0.001125794356298864,-0.014840100545908258,-0.010426986669216712,0.0011899982286671905,-0.01273883753453164,0.0007150903470662122,-0.014140414614781417,-0.011337260454281864,-9.718541396205871e-05,-0.0007104412679336726,0.0019347443994529822,-0.004502540290861517,0.0030816577549941724,0.000724138246078861
106,-0.00436605608518567,0.001125794356298864,-0.006572613023531444,-0.002159499146839897,-0.0016191993565318726,0.0020918630595338165,0.0007150903470662122,0.0006902859792840407,0.0034934401397835923,-2.869340828351788e-05,-0.003144939118453912,0.0019347443994529822,-0.0069370381413817565,0.0006471599044739333,-0.00022250835228116318
107,0.019074506963769142,0.001125794356298864,0.016867950025423368,0.021281063902114917,0.0012919114442760116,-0.005137745751378956,0.0007150903470662122,-0.006539322831628731,-0.00373616867112918,0.00025818020101699667,-0.0019549943868879868,0.0019347443994529822,-0.005747093409815832,0.0018371046360398584,-0.00016678730073611033
