output,input,response_period,shock_period,value
Y,monetary_policy_shock,7,35,-0.008517982917158457
Y,monetary_policy_shock,7,36,-0.008647570886814428
Y,monetary_policy_shock,7,37,-0.008699950264602904
Y,monetary_policy_shock,7,38,-0.008698474590264559
Y,monetary_policy_shock,7,39,-0.008661662674347056
Y,monetary_policy_shock,7,40,-0.008604292162891153
Y,monetary_policy_shock,7,41,-0.008538217492760567
Y,monetary_policy_shock,7,42,-0.008472992476916678
Y,monetary_policy_shock,7,43,-0.008416356628088782
Y,monetary_policy_shock,7,44,-0.00837462818966997
Y,monetary_policy_shock,7,45,-0.008353033025912155
Y,monetary_policy_shock,7,46,-0.008355986944529348
Y,monetary_policy_shock,7,47,-0.008387333900809172
Y,monetary_policy_shock,7,48,-0.008450517911081278
Y,monetary_policy_shock,7,49,-0.008548616279049398
Y,monetary_policy_shock,7,50,-0.008684056853145184
Y,monetary_policy_shock,7,51,-0.008857619820553126
Y,monetary_policy_shock,7,52,-0.009065863827265387
Y,monetary_policy_shock,7,53,-0.009295167587051179
Y,monetary_policy_shock,7,54,-0.009508655096516726
Y,monetary_policy_shock,7,55,-0.009618405923065008
Y,monetary_policy_shock,7,56,-0.009427650160080627
Y,monetary_policy_shock,7,57,-0.008512410122658158
Y,monetary_policy_shock,7,58,-0.005982097020541929
Y,monetary_policy_shock,7,59,-0.0
Y,monetary_policy_shock,8,0,0.12262384511552202
Y,monetary_policy_shock,8,1,0.12734198067791525
Y,monetary_policy_shock,8,2,0.1275584345538173
Y,monetary_policy_shock,8,3,0.11771070217631438
Y,monetary_policy_shock,8,4,0.0897090426904224
Y,monetary_policy_shock,8,5,0.026943414946643787
Y,monetary_policy_shock,8,6,-0.10630511932813815
Y,monetary_policy_shock,8,7,-0.38518873277818555
Y,monetary_policy_shock,8,8,-0.8780451906256137
Y,monetary_policy_shock,8,9,-0.477600946996129
Y,monetary_policy_shock,8,10,-0.18565549857780306
Y,monetary_policy_shock,8,11,0.01022880128591107
Y,monetary_policy_shock,8,12,0.129102435119481
Y,monetary_policy_shock,8,13,0.19076649281345318
Y,monetary_policy_shock,8,14,0.21281216142991435
